============================================================
[0;32m   ____      __           __  ____                  __
  / ____/___/ /___ ____  / /_/ __ \____  ____  ____/ /
 / /   / __  / __ `/ _ \/ __/ /_/ / __ \/ __ \/ __  / 
/ /___/ /_/ / /_/ /  __/ /_/ ____/ /_/ / / / / /_/ /  
\____/\__,_/\__, /\___/\__/_/    \__,_/_/ /_/\__,_/   
            /____/                                     [0m
============================================================

============================================================
[0;34m[INFO][0m Running serial vs parallel comparison tests (algorithm: all)...
-- Configuring done (0.0s)
-- Generating done (0.0s)
-- Build files have been written to: /home/li/cpp-sort/benchmarks/sort-comparison/build
[100%] Built target bench-serial-parallel
============================================================
Serial vs Parallel Sorters Performance Benchmark
============================================================
Hardware concurrency: 32 threads
Warmup iterations: 3
Benchmark iterations: 10
Selected algorithms: all
SIMD: AVX-512 detected

====================================================================================================
Algorithm Pair               Serial (us)  Parallel (us)     Speedup     Pattern        Type      Size
----------------------------------------------------------------------------------------------------
grail                            4769.09        4688.30       1.02x      Random         int    100000
grail                            5542.80        5555.99       1.00x      Random       float    100000
grail                            5557.91        5564.27       1.00x      Random      double    100000
grail                             389.75         393.32       0.99x      Sorted         int    100000
grail                             465.52         465.47       1.00x      Sorted       float    100000
grail                             533.44         533.98       1.00x      Sorted      double    100000
grail                             419.01         421.22       0.99x     Reverse         int    100000
grail                             477.57         508.55       0.94x     Reverse       float    100000
grail                             540.01         545.91       0.99x     Reverse      double    100000
grail                            1311.99        1311.30       1.00x  Nearly Sor         int    100000
grail                            1608.00        1597.31       1.01x  Nearly Sor       float    100000
grail                            1557.98        1564.48       1.00x  Nearly Sor      double    100000
grail                            7048.04        7089.00       0.99x  Few Unique         int    100000
grail                            4789.16        4786.22       1.00x  Few Unique       float    100000
grail                            4779.38        4786.30       1.00x  Few Unique      double    100000
grail                           26872.90       26659.59       1.01x      Random         int    500000
grail                           31740.49       31790.12       1.00x      Random       float    500000
grail                           31713.14       31627.85       1.00x      Random      double    500000
grail                            2203.83        2209.01       1.00x      Sorted         int    500000
grail                            2657.18        2661.31       1.00x      Sorted       float    500000
grail                            3134.58        3134.46       1.00x      Sorted      double    500000
grail                            2469.85        2471.11       1.00x     Reverse         int    500000
grail                            3038.61        3037.75       1.00x     Reverse       float    500000
grail                            3423.22        3426.47       1.00x     Reverse      double    500000
grail                            7377.85        7382.04       1.00x  Nearly Sor         int    500000
grail                            9008.58        9002.60       1.00x  Nearly Sor       float    500000
grail                            8768.02        8780.26       1.00x  Nearly Sor      double    500000
grail                           22357.36       22306.10       1.00x  Few Unique         int    500000
grail                           27266.43       27393.79       1.00x  Few Unique       float    500000
grail                           27415.50       27343.67       1.00x  Few Unique      double    500000
grail                           56984.33       11086.21       5.14x      Random         int   1000000
grail                           67443.09       14405.65       4.68x      Random       float   1000000
grail                           67249.90       14749.44       4.56x      Random      double   1000000
grail                            5661.88        2294.85       2.47x      Sorted         int   1000000
grail                            6443.75        2377.13       2.71x      Sorted       float   1000000
grail                            7256.57        3200.14       2.27x      Sorted      double   1000000
grail                            5793.06        2486.37       2.33x     Reverse         int   1000000
grail                            7107.45        2661.28       2.67x     Reverse       float   1000000
grail                            7716.75        3345.46       2.31x     Reverse      double   1000000
grail                           16497.72        4269.76       3.86x  Nearly Sor         int   1000000
grail                           19981.69        4756.94       4.20x  Nearly Sor       float   1000000
grail                           19499.12        5437.21       3.59x  Nearly Sor      double   1000000
grail                           47381.21        7047.06       6.72x  Few Unique         int   1000000
grail                           58747.44        8245.07       7.13x  Few Unique       float   1000000
grail                           59010.71        8320.19       7.09x  Few Unique      double   1000000
grail                          319362.98       45816.43       6.97x      Random         int   5000000
grail                          376066.32       56485.73       6.66x      Random       float   5000000
grail                          394022.89       60415.09       6.52x      Random      double   5000000
grail                           25887.85        8182.98       3.16x      Sorted         int   5000000
grail                           32763.65        7689.44       4.26x      Sorted       float   5000000
grail                           58542.85       17899.46       3.27x      Sorted      double   5000000
grail                           29875.25        8645.28       3.46x     Reverse         int   5000000
grail                           33922.51        8516.42       3.98x     Reverse       float   5000000
grail                           72595.69       18082.93       4.01x     Reverse      double   5000000
grail                           90142.66       15655.54       5.76x  Nearly Sor         int   5000000
grail                          107353.99       18160.98       5.91x  Nearly Sor       float   5000000
grail                          127929.54       23032.71       5.55x  Nearly Sor      double   5000000
grail                          276287.36       23690.67      11.66x  Few Unique         int   5000000
grail                          332609.22       30507.12      10.90x  Few Unique       float   5000000
grail                          353904.65       33516.09      10.56x  Few Unique      double   5000000
grail                          693035.13       88651.92       7.82x      Random         int  10000000
grail                          812361.15      107922.03       7.53x      Random       float  10000000
grail                          855850.90      122315.90       7.00x      Random      double  10000000
grail                           82155.49       16906.83       4.86x      Sorted         int  10000000
grail                           91132.16       20153.02       4.52x      Sorted       float  10000000
grail                          165386.76       36408.16       4.54x      Sorted      double  10000000
grail                          118127.56       19845.78       5.95x     Reverse         int  10000000
grail                          124267.82       17940.33       6.93x     Reverse       float  10000000
grail                          215627.70       44645.04       4.83x     Reverse      double  10000000
grail                          217532.91       30873.89       7.05x  Nearly Sor         int  10000000
grail                          255468.61       34592.85       7.39x  Nearly Sor       float  10000000
grail                          311806.65       54550.10       5.72x  Nearly Sor      double  10000000
grail                          609240.67       45993.03      13.25x  Few Unique         int  10000000
grail                          732922.53       58324.01      12.57x  Few Unique       float  10000000
grail                          774936.22       72649.22      10.67x  Few Unique      double  10000000
heap                             5371.97        5352.40       1.00x      Random         int    100000
heap                             6060.14        6032.69       1.00x      Random       float    100000
heap                             6290.16        6272.11       1.00x      Random      double    100000
heap                             2664.50        2673.23       1.00x      Sorted         int    100000
heap                             2966.31        2951.47       1.01x      Sorted       float    100000
heap                             2957.46        2961.82       1.00x      Sorted      double    100000
heap                             3027.43        3022.09       1.00x     Reverse         int    100000
heap                             3463.91        3465.04       1.00x     Reverse       float    100000
heap                             3475.21        3484.27       1.00x     Reverse      double    100000
heap                             3130.43        3124.10       1.00x  Nearly Sor         int    100000
heap                             3535.07        3539.68       1.00x  Nearly Sor       float    100000
heap                             3577.42        3596.29       0.99x  Nearly Sor      double    100000
heap                             5193.21        5184.82       1.00x  Few Unique         int    100000
heap                             6054.17        6085.02       0.99x  Few Unique       float    100000
heap                             6201.93        6170.50       1.01x  Few Unique      double    100000
heap                            31594.74       31652.19       1.00x      Random         int    500000
heap                            35558.06       35738.83       0.99x      Random       float    500000
heap                            37517.44       37526.27       1.00x      Random      double    500000
heap                            13949.34       13980.59       1.00x      Sorted         int    500000
heap                            15314.78       15348.65       1.00x      Sorted       float    500000
heap                            15377.63       15387.48       1.00x      Sorted      double    500000
heap                            15673.14       15691.48       1.00x     Reverse         int    500000
heap                            17398.67       17377.33       1.00x     Reverse       float    500000
heap                            17670.49       17331.95       1.02x     Reverse      double    500000
heap                            17057.52       17049.39       1.00x  Nearly Sor         int    500000
heap                            18388.07       18371.43       1.00x  Nearly Sor       float    500000
heap                            18906.84       18816.46       1.00x  Nearly Sor      double    500000
heap                            30427.08       30435.10       1.00x  Few Unique         int    500000
